Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
05-FEB-2025,23551.25,23646.3,23410.5,23517.1,42290268,3717.88
04-FEB-2025,23607.5,23800.9,23366.9,23535.05,84225037,5766.72
03-FEB-2025,23299.75,23370.9,23096.1,23327,91969399,7441.32
01-FEB-2025,22926.2,23519.7,22727.65,23305.45,53624432,5968.66
31-JAN-2025,22552.1,22951.4,22490.3,22867.6,43846417,4745.84
30-JAN-2025,22420.3,22683.85,22259.1,22495.7,92133522,7643.91
29-JAN-2025,22299,22707.55,22269.95,22586.35,41656329,5578.85
28-JAN-2025,22061.2,22506.6,21867.8,22264.15,66018001,5322.52
27-JAN-2025,22055.15,22081.25,21835.6,21970.45,44812294,3577.8
24-JAN-2025,22463.95,22589.05,22120.05,22171.05,35149830,3298.44
23-JAN-2025,22245.8,22587.4,22166.15,22518.95,25725511,3135.25
22-JAN-2025,22409.75,22428.7,22121.4,22274.35,45187131,3978.64
21-JAN-2025,22727.7,22881.95,22261.9,22303.2,34822861,3752.22
20-JAN-2025,22805.75,22853,22511.75,22671.8,34103409,3170.81
17-JAN-2025,22835.25,22941.7,22651.6,22791.1,21121686,2377.9
16-JAN-2025,22866.8,22934.75,22758.15,22861.25,30568312,3569.88
15-JAN-2025,22929.55,23063.7,22602.65,22712.75,33604147,3911
14-JAN-2025,22416.5,22935.85,22415.95,22833.05,33356071,3987.76
13-JAN-2025,22789.7,22842.45,22351,22382.25,42868997,3690
10-JAN-2025,23262.3,23345.85,22896.05,23017.75,45141771,3581.22
09-JAN-2025,23457.45,23552.75,23240,23305.2,41578986,4173.8
08-JAN-2025,23543.9,23549.65,23191.6,23370.15,38888982,3786.26
07-JAN-2025,23513.95,23634.35,23426,23482.1,37456137,3669.88
06-JAN-2025,24087.45,24169.7,23365.6,23482.2,42989460,4255.89
03-JAN-2025,24058.95,24173.25,23899.75,24005,56380831,5969.56
02-JAN-2025,23255.25,24051.8,23155.2,24016.2,63686696,8257.73
01-JAN-2025,22834.2,23167.4,22689.2,23139.55,23556705,2776.47
31-DEC-2024,22713.6,22899.8,22641,22834,26178187,2492.13
30-DEC-2024,23072.25,23100.8,22695.75,22768.25,75966656,6591.65
27-DEC-2024,22960.6,23461.95,22952.6,23099.05,36551632,4122.43
26-DEC-2024,22709.85,22947.8,22709.85,22876.1,35268821,3092.47
24-DEC-2024,22565.45,22810.2,22510.6,22685.55,28770439,2857.52
23-DEC-2024,22699.95,22765.55,22488.3,22557.75,30036782,3385.6
20-DEC-2024,23070.45,23236.6,22531.65,22580,67849112,6570.17
19-DEC-2024,22911.75,23166.65,22862.4,23070.9,49016765,4437.15
18-DEC-2024,23319.6,23423.55,23208.6,23241.25,50799583,4316.48
17-DEC-2024,23705.1,23834,23361.65,23417.8,43050495,4001.76
16-DEC-2024,23805.05,23823.35,23628.25,23790.5,40627428,3429.85
13-DEC-2024,23617.75,23803.75,23292.1,23773.1,41946677,3692.62
12-DEC-2024,23891.8,23908.1,23615.3,23660.3,35740256,3788.08
11-DEC-2024,23779.5,23947.2,23757.1,23851.85,32663847,3135.48
10-DEC-2024,23806.8,23838,23635.4,23767.05,46124483,3903.01
09-DEC-2024,23948.5,23986.05,23750.6,23775.05,52196326,3915.37
06-DEC-2024,23799.75,23982.5,23722.85,23960.25,87600995,5719.08
05-DEC-2024,23691.1,23853.75,23438.55,23736.25,54415754,6295.28
04-DEC-2024,23746.2,23850.75,23466.75,23584,61935417,5049.06
03-DEC-2024,23692.75,23775.45,23580.75,23752.4,42595685,3887.22
02-DEC-2024,23433,23615.45,23353.75,23599.6,41300395,3566.78
29-NOV-2024,23169.2,23446.5,23128.9,23368.55,44715175,4269.8
28-NOV-2024,23509.25,23549.7,23091.8,23134.7,55606823,5797.58
27-NOV-2024,23515.8,23639,23419.4,23517.35,43578000,3976.75
26-NOV-2024,23762.55,23800.15,23326.8,23413,32749792,3820.99
25-NOV-2024,23914.55,24111.95,23648.65,23716.45,106218596,8546.12
22-NOV-2024,23208.8,23686.35,23089.05,23554.1,40492651,4772.76
21-NOV-2024,23321.35,23328.5,23072.65,23145.9,45166100,4529.03
19-NOV-2024,23052.55,23713.2,23051.6,23359.5,50525126,5686.1
18-NOV-2024,23044.75,23261.85,22854.55,23043.85,46023746,4671.15
14-NOV-2024,22831.55,23036.15,22659.05,22914.5,59268226,5579.88
13-NOV-2024,23207.7,23220,22691.5,22765.2,85543809,6456.43
12-NOV-2024,23744.7,23865.6,23183.75,23269.1,67220850,4782.04
11-NOV-2024,23740.2,24077.1,23618.3,23729.45,69227067,5644.62
08-NOV-2024,23855.55,23900.6,23536.05,23805.2,59204921,4685.09
07-NOV-2024,24236.95,24243.8,23696.05,23812.5,47982179,4717.14
06-NOV-2024,23960.7,24181.5,23835.85,24137.9,38475204,4186.28
05-NOV-2024,23553.15,23891.15,23462.45,23839.6,48008328,5224.04
