Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
03-FEB-2017,20061.9,20229.65,20009.95,20196.8,113714035,3092.66
02-FEB-2017,20053.95,20146.9,19915.2,20070.3,116963782,3279.64
01-FEB-2017,19522.4,20047.85,19470.95,20020.6,145906975,4549.85
31-JAN-2017,19533.2,19624.1,19435.45,19515.15,67343878,2331.66
30-JAN-2017,19718.8,19767.05,19561.1,19585.25,71178678,2113.37
27-JAN-2017,19588.4,19794.95,19534.9,19708.3,157251635,4654.79
25-JAN-2017,19120.05,19518.45,19114.15,19473.2,131028002,4672.67
24-JAN-2017,18931,19054.3,18906.95,19023.5,81717037,3118.62
23-JAN-2017,18762,18909.65,18722.85,18842.7,97144867,3232.45
20-JAN-2017,18996.6,19071.65,18793.05,18820.8,110140976,3855.9
19-JAN-2017,19165.35,19185.3,19046.1,19124.25,83679399,2409.78
18-JAN-2017,19074.85,19276.5,19072.1,19164.5,56898977,1871.38
17-JAN-2017,19128.15,19202.25,18981.85,19067.05,63686033,1862.62
16-JAN-2017,18899.7,19134.5,18865.25,19096.45,59319825,1740.77
13-JAN-2017,18949.7,18952.25,18781.25,18912.1,55762182,1855.3
12-JAN-2017,18885.45,18966.3,18805.85,18873.95,66286062,1982.54
11-JAN-2017,18535.35,18889.45,18515.25,18830,102842482,3493.47
10-JAN-2017,18351.45,18441.15,18275.75,18409.6,59993426,2012.18
09-JAN-2017,18314.25,18373.1,18256.15,18286.65,42677260,1404.38
06-JAN-2017,18168.45,18325.5,18157.3,18264,65919927,2174.59
05-JAN-2017,18000.75,18164.05,17977.8,18115.95,68874940,2271.18
04-JAN-2017,18037.45,18092.85,17868.9,17891,50508161,1615.85
03-JAN-2017,18002.75,18115.05,17830.95,18035.6,64513818,1769.3
02-JAN-2017,18242.3,18249,17844.9,17969.6,74444730,1857.24
30-DEC-2016,18026.35,18245.75,18016.8,18177.2,54349583,1546.86
29-DEC-2016,17861.45,18053.3,17829.4,18033.15,83313390,2141.23
28-DEC-2016,17929.2,18059.65,17829.15,17876.7,57498370,1692.18
27-DEC-2016,17677.7,17907.35,17616.1,17879.55,50265645,1457.14
26-DEC-2016,17825.5,17860.85,17606.9,17655.55,45887571,1309.95
23-DEC-2016,17849.25,17962.3,17819.75,17884,53610316,1594.4
22-DEC-2016,18027,18029.6,17839.75,17891.45,50280389,1521.6
21-DEC-2016,18124.6,18167.15,18043.95,18084.5,45881955,1491.46
20-DEC-2016,18264.1,18274.9,18009.8,18069.4,53850831,1649.45
19-DEC-2016,18258.1,18316.8,18215.5,18257.05,37244360,1174.33
16-DEC-2016,18417.9,18428.45,18268.3,18312.8,81868151,3056.57
15-DEC-2016,18143.5,18532,18122.1,18401.15,82787720,2794.29
14-DEC-2016,18480.35,18485.45,18322.9,18341.5,56292640,1882.96
13-DEC-2016,18354.1,18492.85,18291.35,18466.05,54727502,1660.6
12-DEC-2016,18616.05,18616.05,18364.05,18392.95,53579188,1551.39
09-DEC-2016,18567.95,18739.65,18432.3,18695.8,75645795,2199.26
08-DEC-2016,18342.6,18558.75,18336.95,18515.45,55661159,1715.5
07-DEC-2016,18515.5,18588.75,17952.6,18234.15,100890980,2738.11
06-DEC-2016,18459.7,18499.75,18365.95,18420.9,55031739,1519.75
05-DEC-2016,18245,18434.25,18189.5,18408.9,45765934,1417.16
02-DEC-2016,18329.4,18490.5,18163.8,18247.65,84312899,2455.65
01-DEC-2016,18676.75,18713.1,18389.65,18428.45,62882921,1980.14
30-NOV-2016,18306.1,18667.85,18262.5,18627.8,89135261,2853.13
29-NOV-2016,18308.8,18427.4,18188.7,18223.75,81509358,2454.4
28-NOV-2016,18237.2,18471.65,18187.4,18301.45,106884555,3041.05
25-NOV-2016,18377.55,18546.35,18266.6,18507.3,81089308,2347.44
24-NOV-2016,18476,18476.35,18215.8,18256.1,120482500,3662.56
23-NOV-2016,18660.55,18669.05,18449.7,18540.9,73799835,2142.47
22-NOV-2016,18626.7,18650.5,18322.7,18548.65,119912505,3357.39
21-NOV-2016,19063.8,19075.95,18351.25,18446.4,135622966,3456.39
18-NOV-2016,19180.3,19216.35,18897.1,18959.05,79393592,2272.08
17-NOV-2016,19115.9,19328.75,19009.85,19087.85,106724890,3044.75
16-NOV-2016,19591.25,19611.9,19088.4,19108.1,134590517,4172.68
15-NOV-2016,19808.35,19861.75,19240.45,19289.75,208769377,6018.37
11-NOV-2016,20033.85,20309.65,19704.35,19738.8,197925973,5329.2
10-NOV-2016,19827.5,20283.15,19787.45,20200.25,212502782,5707.96
09-NOV-2016,18270.9,19587.8,18143.7,19518.25,169946993,5102.23
08-NOV-2016,19490.75,19549.45,19322.15,19500.8,83951456,2433.93
07-NOV-2016,19317.85,19378,19233,19356,77290268,2148.35
04-NOV-2016,19223.85,19223.9,18961.15,19058.1,76173129,2300.58
03-NOV-2016,19201.95,19319.65,19119.3,19178.7,65915418,1907.41
02-NOV-2016,19223.5,19296.55,19158.75,19227.9,74364554,2542.39
01-NOV-2016,19578.6,19591.65,19417.3,19458.6,61792854,1992.47
30-OCT-2016,19657.8,19666.8,19484.65,19523.55,8938951,267.09
28-OCT-2016,19507.85,19589.7,19362,19555.95,68877003,2262.36
27-OCT-2016,19452,19544.2,19252.1,19514.6,87647894,3276.15
26-OCT-2016,19581.7,19725.9,19434.5,19483.6,143827550,4605.88
25-OCT-2016,19907.7,19922.7,19711.95,19834.9,90588204,2477.21
24-OCT-2016,19763.85,19897.85,19751.65,19807.9,77828035,2375.85
21-OCT-2016,19636.4,19744,19516.4,19710.9,69230448,2310.21
20-OCT-2016,19493.9,19722.85,19479.25,19658.7,97604833,3274.33
19-OCT-2016,19570.05,19576.3,19322.75,19412.1,65347496,2227.07
18-OCT-2016,19174.7,19511.8,19162.85,19495.05,104276455,3331.64
17-OCT-2016,19136.3,19241.75,19002.45,19070.4,123597409,3474.26
14-OCT-2016,19016.7,19053.5,18926.15,19020.15,61797883,1807.64
13-OCT-2016,19295.55,19295.55,18824.4,18954.25,95148972,2977.66
10-OCT-2016,19489.5,19501.45,19351.35,19378.55,40907508,1288.05
07-OCT-2016,19398.05,19456,19318,19400.1,62681646,1878.7
06-OCT-2016,19518.55,19570.7,19325.8,19395.05,74619781,2686.28
05-OCT-2016,19801.3,19816.5,19492.8,19536.85,91727046,2529.11
04-OCT-2016,19641.75,19747.45,19527.35,19672.7,113388061,2928.8
03-OCT-2016,19395.55,19611.25,19363.95,19589.05,66410113,2033.38
30-SEP-2016,19116,19330.85,19085.2,19285.7,84247936,2589.5
29-SEP-2016,19762.3,19793.2,19059.05,19183.65,239435196,9980.19
28-SEP-2016,19542,19700,19509.65,19653.55,117247682,3074.09
27-SEP-2016,19652.95,19696.45,19479.15,19518.7,65845836,2254.69
26-SEP-2016,19792.2,19794.15,19568.35,19591.75,73982979,2552.57
23-SEP-2016,20136.75,20137.55,19861.45,19901.8,96847196,3780.62
22-SEP-2016,20153.1,20264.8,19996.9,20109.6,102577164,3200.62
21-SEP-2016,19902.7,19937.85,19749.95,19828.45,62251845,2199.53
20-SEP-2016,19957.35,19964.3,19797.5,19852.3,55715315,2056.31
19-SEP-2016,19892.2,20014.4,19849.65,19906.85,64684600,2681.69
16-SEP-2016,19935.85,20227.2,19783.6,19855.45,139007912,5335.43
15-SEP-2016,19927.6,19955.4,19730.25,19837.55,68388707,2351.11
14-SEP-2016,19757.05,19953.15,19732.15,19909.15,87058786,3004.68
12-SEP-2016,19861.45,19861.45,19735.55,19790.6,97967394,3482.14
09-SEP-2016,20274.75,20349.7,20139.15,20245.3,99503901,4359.51
08-SEP-2016,20439.2,20477.4,20335.2,20417.25,84146556,3133.96
07-SEP-2016,20505.8,20575.8,20376.75,20406.9,182174112,5025.38
06-SEP-2016,19990.95,20459.45,19990.95,20426.2,102450560,3418.91
02-SEP-2016,19830.35,19911.25,19787.6,19883.2,55246832,1827.3
01-SEP-2016,19805.8,19928.2,19738.3,19788.85,73412522,2347.06
31-AUG-2016,19595.9,19823.4,19595.9,19787.6,227835482,12621.85
30-AUG-2016,19306.5,19546.35,19306.5,19531.55,78066462,2862.35
29-AUG-2016,19174.45,19247.85,19096.7,19217,56151054,2097.48
26-AUG-2016,19336.45,19358,19133.9,19195.75,62935384,1988.03
25-AUG-2016,19383.7,19432.75,19282.8,19304.25,91833496,3319.88
24-AUG-2016,19358.7,19392.2,19284.35,19355.6,59389952,1807.5
23-AUG-2016,19311.9,19372.65,19246.9,19341.65,75741851,2165.09
22-AUG-2016,19432.6,19493.2,19252.75,19330.25,72766030,2260.39
19-AUG-2016,19419,19457.4,19327.2,19414.7,110378474,3000.38
18-AUG-2016,19087.2,19367.45,19083,19352.8,81431396,2692.4
17-AUG-2016,19044.55,19138.35,18966.35,19041.25,81061925,2349.65
16-AUG-2016,19029.1,19062.2,18839.4,19002.15,94800297,2853.88
12-AUG-2016,18698.3,18986.8,18695.5,18963.7,198837215,4945.54
11-AUG-2016,18621,18699.2,18537.1,18640.4,101074835,2523.82
10-AUG-2016,18966.85,18985.25,18611.25,18647.8,77578944,2171.83
09-AUG-2016,18968.65,19008.15,18838.6,18933.3,80282306,2266.83
08-AUG-2016,18986.75,19028.7,18896,18939.45,62653821,1923.87
