Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
05-FEB-2019,15214.7,15309.3,15131.7,15198.95,57749482,2186.96
04-FEB-2019,14934.35,15269.55,14891.55,15215.35,63743461,2486.37
01-FEB-2019,14867.05,15025.6,14770.55,14975.75,46129978,1849.54
31-JAN-2019,14541.45,14816.25,14532.65,14792.95,157583215,3789.28
30-JAN-2019,14670.75,14723.05,14426.25,14479.25,72401733,2082.57
29-JAN-2019,14816,14822.6,14570,14630.5,72653207,2238.93
28-JAN-2019,15006.25,15019.05,14755.85,14820.05,45261595,1734.27
25-JAN-2019,15027.4,15160.75,14895,14970.05,42263592,1732.79
24-JAN-2019,14843.9,15067.55,14812,14990.4,47162967,2299.63
23-JAN-2019,14949.75,15046.6,14813.5,14849.8,45612323,1792.28
22-JAN-2019,14937.1,15047.7,14844.25,14949.85,55240164,2817.73
21-JAN-2019,14686.45,15000.15,14633.75,14963.85,60326267,3385.99
18-JAN-2019,14365.75,14667.1,14272.15,14607.5,62343301,3749.91
17-JAN-2019,14318.95,14366.8,14208.65,14257.5,56345979,1832.15
16-JAN-2019,14218.35,14338.6,14211.75,14242.6,48341601,1633.14
15-JAN-2019,13975.05,14185.6,13948.4,14162.6,57781880,2068.53
14-JAN-2019,13929.15,13929.15,13804.15,13865.2,47219853,1335.48
11-JAN-2019,14008.15,14076.85,13848.4,13937.55,48514218,1462.36
10-JAN-2019,14033.85,14065.9,13957.8,14004.55,58187464,1509.62
09-JAN-2019,14161.9,14202.65,13948,14061,46386823,1528.74
08-JAN-2019,14138,14165.65,14034.2,14106.35,37150346,1227.27
07-JAN-2019,14130.4,14243.15,14095.65,14137.05,54259998,1481.08
04-JAN-2019,13949.5,14073.35,13849.45,14043.05,51208798,1773.15
03-JAN-2019,14121.7,14145.3,13892.55,13914.6,80202225,2128.38
02-JAN-2019,14277.5,14335.8,14036.3,14140.55,74886991,2230.7
01-JAN-2019,14355.05,14373.15,14230.75,14348,29263890,1000.7
31-DEC-2018,14411.7,14431.6,14279.9,14334.85,45845189,1606.52
28-DEC-2018,14314.15,14449.65,14282.75,14369.8,70050657,2089.79
27-DEC-2018,14135.4,14311.85,14105.4,14284.6,216654592,5157.27
26-DEC-2018,13977.3,14104.75,13774.45,14063.7,69845351,1973.86
24-DEC-2018,14168,14181.8,13955.3,13989.45,60632985,1519.18
21-DEC-2018,14383.65,14422.05,14125.25,14159.75,116595523,2887.68
20-DEC-2018,14284.9,14442.8,14254.4,14424.7,93178782,2170.88
19-DEC-2018,14452.95,14526.95,14425.2,14462.5,70258822,2071.32
18-DEC-2018,14244.3,14405.6,14208.65,14386.2,79100317,2033.95
17-DEC-2018,14186.55,14309.9,14154.35,14283.95,87447536,2045.41
14-DEC-2018,13903.25,14090.8,13775.5,14072.05,113930902,2709.76
13-DEC-2018,14076.05,14077.85,13797.05,13924.2,72773102,2161.26
12-DEC-2018,13744.6,13948.45,13680.8,13912.9,83763622,2637.95
11-DEC-2018,13422.2,13750.05,13322.05,13709.5,95241584,2957.05
10-DEC-2018,13763.45,13822.45,13524.35,13657.45,148601414,3214.53
07-DEC-2018,14056.5,14105.85,13800.45,14013.65,74629581,2084.43
06-DEC-2018,14216.15,14216.15,13958.1,13989.85,54885577,1651.62
05-DEC-2018,14273.55,14370.05,14178.2,14294.25,61663960,1754.57
04-DEC-2018,14325.8,14383.8,14225.8,14359.1,64399561,1721.73
03-DEC-2018,14376.35,14410.25,14250.95,14333.75,93552196,2091.87
30-NOV-2018,14414.35,14493.5,14246.15,14323.95,134567885,3446.96
29-NOV-2018,14378.95,14481.7,14328.25,14367.9,143814334,3720.62
28-NOV-2018,14226.9,14347.35,14121.95,14264.75,85515105,2332.43
27-NOV-2018,13983.05,14201.55,13958.3,14185.6,68827274,2010.53
26-NOV-2018,14094.7,14141.2,13862.05,14003.6,70785806,1973.98
22-NOV-2018,14151.45,14224.6,13947.25,13978.65,47727637,1498.81
21-NOV-2018,14414.35,14480.15,14098.05,14124.35,73152873,2221.82
20-NOV-2018,14450.6,14551.45,14281.65,14333.7,59764046,1753.83
19-NOV-2018,14352.85,14481,14325.6,14466.45,54516755,1860.76
16-NOV-2018,14113.8,14356.95,14056.85,14312.6,57523736,2193.6
15-NOV-2018,14159.2,14190.35,14041.8,14130.6,53175315,1784.97
14-NOV-2018,14201.05,14337.75,14078.8,14160.75,118541943,3246.83
13-NOV-2018,13826.8,14117.1,13798.75,14091.05,69840079,2012.04
12-NOV-2018,14102.7,14108.8,13810.15,13849.3,53166928,1624.91
09-NOV-2018,14178.05,14226.25,14000.65,14074.6,69698357,2363.79
07-NOV-2018,14217.75,14217.75,14140.45,14169.7,5403771,223.5
06-NOV-2018,14043.3,14152.85,13970,14082.8,59357687,1996.77
05-NOV-2018,14027.9,14027.9,13802.6,13985.75,76873121,2145.35
02-NOV-2018,13901.75,14048.25,13870.2,14005.3,102007143,3625.94
01-NOV-2018,13836.15,13837,13672.7,13742.4,61274702,1971.81
31-OCT-2018,13692.55,13777.25,13518.05,13753.35,71687363,2843.01
30-OCT-2018,13930,13931.25,13634.15,13660.5,69082656,2096.61
29-OCT-2018,13552.9,14017.2,13525,13965.2,94131474,2108.97
26-OCT-2018,13478.55,13650.35,13334.8,13523.7,66347853,2059.75
25-OCT-2018,13523.6,13595.05,13358.25,13491.35,203753855,5007.06
24-OCT-2018,13851.55,13865.6,13460.25,13632.65,96201241,3182.28
23-OCT-2018,13550.25,13698.5,13423.25,13611.85,67275234,2197.74
22-OCT-2018,14117.8,14155.65,13608.9,13661.55,57721518,2252.9
19-OCT-2018,14037.55,14090.35,13828.55,14014.05,93263452,4220.89
17-OCT-2018,14746.05,14750.65,14335.95,14405.5,64586820,2490.61
16-OCT-2018,14428.95,14622.45,14379.35,14596.95,70144030,2062.3
15-OCT-2018,14291.8,14397.85,14167,14363.15,74483905,2277.91
12-OCT-2018,14005.75,14270.1,13987.25,14243.05,106869504,2739.02
11-OCT-2018,13403.7,14059.95,13254.25,13796.55,146689210,4013.5
10-OCT-2018,13627.4,13861.95,13560.9,13779.35,71243448,2174.93
09-OCT-2018,13946.7,13961.3,13526.75,13591.35,75503405,2452.64
08-OCT-2018,13317.8,13892.5,13104,13828.15,154829097,5088.38
05-OCT-2018,13979,13979,13170.45,13278,324109171,7896.26
04-OCT-2018,15209.5,15209.5,14120.05,14427.8,97899143,4322.49
03-OCT-2018,15469.3,15576.6,15326.5,15371.05,60285904,2085.31
01-OCT-2018,15711.9,15715.5,15214.05,15539.75,48935267,1810.18
28-SEP-2018,15772.95,15867.85,15576.45,15697.2,70271459,2878.57
27-SEP-2018,15746.05,15825.45,15581.6,15694.95,64787257,2614.39
26-SEP-2018,15671.05,15735.4,15475.25,15703.9,46005198,1689.12
25-SEP-2018,15596.4,15677,15192.65,15540.6,62587061,2318.35
24-SEP-2018,15544.7,15712.95,15446.45,15588.55,66494620,2540.09
21-SEP-2018,15567.5,15761.15,15197.45,15575.3,109133892,4371.62
19-SEP-2018,15529.75,15574.65,15399.3,15458.45,63532061,2674.1
18-SEP-2018,15624.7,15716.75,15436.4,15460.2,49126841,1912.03
17-SEP-2018,15736.75,15739.25,15565.7,15609.05,60682814,2094.46
14-SEP-2018,15701.7,15864.6,15674.9,15791.9,68389901,2416.58
12-SEP-2018,15576.8,15634.3,15351.45,15601.05,62252807,2227.69
11-SEP-2018,15712.65,15791.65,15449.6,15477.45,69639529,2576.68
10-SEP-2018,15888.9,15889.95,15638.35,15675.8,47269327,1884.84
07-SEP-2018,15865.6,15967.85,15719.85,15937.4,47200770,2264.19
06-SEP-2018,15522.65,15840.35,15479.7,15803.45,62602466,2666.73
05-SEP-2018,15581.95,15682.25,15307.25,15486.55,53677604,2403.95
04-SEP-2018,15643.6,15756.35,15545.6,15587.95,43995136,1936.85
03-SEP-2018,15831.35,15877.05,15574.65,15598.6,52152938,2427.4
31-AUG-2018,15909.75,15915.7,15674.55,15763,77602099,3438.32
30-AUG-2018,16049.6,16077.5,15900.55,15960.6,99119088,3677.59
29-AUG-2018,16241.25,16360.5,16026.55,16059.95,50908004,2429.83
28-AUG-2018,16126.55,16348.85,16119.2,16241.65,58777198,2332.14
27-AUG-2018,15914.1,16112.55,15908.85,16082.7,41194791,1435.07
24-AUG-2018,15764.6,15902.15,15721.65,15875,51926204,1873.32
23-AUG-2018,15630.9,15822.55,15543.75,15798.5,59379959,2133.02
21-AUG-2018,15556.75,15652.35,15434.55,15622.4,43692955,1761.73
20-AUG-2018,15301.3,15546.2,15296,15520.25,44352427,1813.87
17-AUG-2018,15321.65,15351.55,15221.7,15250.05,33527052,1174.74
16-AUG-2018,15263.4,15382.9,15202.95,15238.6,50652843,1953.66
14-AUG-2018,15169.8,15356.8,15121.15,15309.85,35216166,1413.36
13-AUG-2018,15312.55,15319.2,15122.15,15141.3,48095325,1693.88
10-AUG-2018,15456.5,15491.35,15339.8,15375.6,46884745,1569.38
09-AUG-2018,15563.35,15595.9,15429.25,15491.4,43086068,1735.19
08-AUG-2018,15240.5,15528.85,15211.1,15483.8,43183134,1819.44
07-AUG-2018,15344,15387.35,15156,15219.7,27645356,1040.71
06-AUG-2018,15226.45,15358.85,15207.7,15319.25,29952710,1120.97
03-AUG-2018,15170.05,15248.85,15135.55,15205.95,46251285,1729.89
02-AUG-2018,15280.2,15280.2,15076.65,15103,51773207,1814.92
01-AUG-2018,15212,15338.3,15187.85,15245.3,58501327,2361.96
31-JUL-2018,14897.05,15197.1,14854.3,15150.2,56253305,2532.59
30-JUL-2018,14721.8,14952.6,14705.4,14911.5,66249967,2713.36
27-JUL-2018,14556.15,14736.85,14492.1,14693.8,52122525,1738.71
26-JUL-2018,14407.45,14540.3,14405.7,14474.1,100084004,2536.19
25-JUL-2018,14463.5,14549.3,14407.15,14457,46785956,1507.56
24-JUL-2018,14541.85,14592.2,14432.9,14488,40991669,1268.65
23-JUL-2018,14570.65,14580.45,14445.35,14508.35,39802113,1405.51
20-JUL-2018,14472.4,14625.35,14425.8,14542.3,38620675,1592.71
19-JUL-2018,14379,14513.75,14317,14431.3,38672855,1327.55
18-JUL-2018,14394.7,14469.9,14225.2,14363.4,59809657,1726.26
17-JUL-2018,14136.6,14353.85,14063.65,14318.9,61864066,2018.55
16-JUL-2018,14289.9,14351.95,14059.35,14085,40413634,1459.43
13-JUL-2018,14182.35,14400.6,14178.1,14288.7,61306676,2935.59
12-JUL-2018,13946.3,14336.75,13926.65,14165.9,89231733,4005.65
11-JUL-2018,13739.8,13828.8,13660.65,13795.65,51820229,1875.2
10-JUL-2018,13560,13773.65,13538.05,13749.95,42849458,1822.52
09-JUL-2018,13370.3,13528.2,13355.8,13498.4,40773102,1315.12
06-JUL-2018,13199.3,13353.35,13184,13283.8,59390412,2037.64
05-JUL-2018,13425.65,13496.7,13113.05,13171.05,57582412,2696.78
04-JUL-2018,13280.25,13388.6,13249.7,13372.7,50142355,1452.27
03-JUL-2018,13176.05,13322.65,13129.95,13278.4,54652371,1510.61
02-JUL-2018,13333.25,13342.1,13103.45,13151.95,65275767,1860.85
29-JUN-2018,13051.75,13364.7,13051.75,13333.35,65356063,2123.77
28-JUN-2018,13170.05,13266.65,12948.65,12999.15,113564693,3057.58
27-JUN-2018,13559.95,13559.95,13199.1,13247.15,73541006,2337.39
26-JUN-2018,13768.75,13769.05,13552,13581.05,51931236,1791.82
25-JUN-2018,13942.9,13942.9,13746.65,13777.1,53535475,1612.93
22-JUN-2018,14056.65,14064.5,13878.35,13948.4,67702040,2910.19
21-JUN-2018,14032.4,14100.45,13940.8,14064.4,70160097,2417.61
20-JUN-2018,13834,13998,13797.25,13972.5,48872137,1655.5
19-JUN-2018,14001.1,14001.85,13791.95,13820.8,51629005,1723.28
18-JUN-2018,13933.55,14078.65,13918.95,14030.5,51848317,1753.15
15-JUN-2018,13951.1,14033.3,13886.2,13939.1,63109994,2319.89
14-JUN-2018,13948.9,13999.8,13808.95,13976.3,41068363,1371.57
13-JUN-2018,13984.3,14018.2,13870.9,13994.8,43713889,1489.01
12-JUN-2018,13876.75,13978.05,13848.8,13946.85,43143042,1546.83
11-JUN-2018,13884.15,14002.4,13817.75,13846.3,55573679,1747.51
08-JUN-2018,13733.45,13889.05,13639.7,13862.9,39682074,1391.94
07-JUN-2018,13622.4,13837.25,13622.4,13793.1,45567007,1572.79
06-JUN-2018,13536.2,13632.65,13508.55,13614,34668097,1139.48
05-JUN-2018,13517.05,13588.3,13476.05,13545.35,48889271,1704.48
04-JUN-2018,13556.8,13607.9,13469.8,13511.4,52132176,1716.41
01-JUN-2018,13488,13542.85,13426.6,13498.25,56178744,1921.97
31-MAY-2018,13464.15,13547.25,13386.1,13523.4,294306828,7443.97
30-MAY-2018,13401.15,13489.75,13334.9,13401.5,75325553,2125.39
29-MAY-2018,13472.95,13553.3,13408.55,13446.55,68853828,2079.44
28-MAY-2018,13438.1,13509.15,13424.65,13446.1,85414842,2311.14
