Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
05-FEB-2025,57339.1,57392.25,56311.5,56383.75,46439258,2805.45
04-FEB-2025,57701.85,57793.7,56859.65,57274.7,80858566,3862.37
03-FEB-2025,58276.3,58475.1,57110.3,57419.55,57197349,3887.89
01-FEB-2025,56818.1,59302.55,56051.95,58396.05,67488936,5214.44
31-JAN-2025,55572.45,56791.35,55551.85,56691.95,61842132,4104.22
30-JAN-2025,55212.45,55803,55168.55,55558.95,61462653,3213.07
29-JAN-2025,55444.8,55673.9,54757,55163.05,54054315,2638
28-JAN-2025,55742.25,55799.15,55269.25,55441.95,40338773,3090.51
27-JAN-2025,55832.05,56227.3,55463,55654.5,26487763,2656.75
24-JAN-2025,55908.95,56359.45,55679,56069.35,22827035,2226.57
23-JAN-2025,55308.15,55951.25,54770.15,55781.8,27632032,2637.55
22-JAN-2025,55815.55,56055.7,55427.75,55596.05,27341811,2643.09
21-JAN-2025,55914.55,56372.1,55516.65,55622.65,36664878,2915.37
20-JAN-2025,55824.25,55952.85,55462,55738.05,23875402,2047.68
17-JAN-2025,55332.2,56005.1,55142.55,55800.85,33746044,2674.88
16-JAN-2025,55771.75,55834,54922.45,55240,33877587,2858.21
15-JAN-2025,55746.85,55832.15,55190.25,55549.85,27231868,2373.25
14-JAN-2025,56567.3,56622.15,55537.6,55627.2,39808663,3112.84
13-JAN-2025,56334.5,56925.5,56332.8,56420.15,36841745,3043.19
10-JAN-2025,57449.9,57607.55,56936.6,57117.7,25404211,2254.09
09-JAN-2025,56953.8,58238.1,56764.5,57495.6,41387319,3945.93
08-JAN-2025,56831.25,57087.6,56158.4,56967.6,29593951,2512.88
07-JAN-2025,56852.25,57126.6,56667.85,56719.55,30387932,2462.88
06-JAN-2025,57837.3,57853.25,56547.75,56714.4,44904302,3460.91
03-JAN-2025,57903.05,57923.5,57410.05,57817,58507343,4249.95
02-JAN-2025,57129.15,57718.15,56846.35,57671.35,41990496,3126.91
01-JAN-2025,56884.05,57129.9,56767.35,57017.65,27165765,1847.54
31-DEC-2024,56576.25,56845.8,56278.5,56799.65,25659712,2262.02
30-DEC-2024,56545.25,56827.6,56278.7,56618.4,49497392,4207.44
27-DEC-2024,56436.75,56615.8,56220.15,56444.25,23978813,1665.98
26-DEC-2024,56517.4,56603.6,56139,56258,18061462,1603.95
24-DEC-2024,56151.05,56586.45,56008.65,56439.3,23854419,1808.08
23-DEC-2024,55970.15,56304.45,55701,56135.05,30928607,2251.19
20-DEC-2024,56151.85,56309.7,55472.45,55600.8,39186785,3233.36
19-DEC-2024,56145.95,56570.6,56042.65,56157.9,31111190,2696.45
18-DEC-2024,56578.35,56685.6,56277.25,56467.8,34404610,3166.85
17-DEC-2024,56625.45,56842.1,56205,56467.45,42092833,3539.63
16-DEC-2024,56946,57062.55,56517.45,56697.2,24371286,2101.02
13-DEC-2024,56088.7,56997.45,55455.15,56869.4,48524184,3486.81
12-DEC-2024,56701.15,56885.75,56059.55,56146.7,36211563,3377.4
11-DEC-2024,56716.3,56898.7,56514.45,56766.8,22308577,2151.8
10-DEC-2024,56582.8,56697.4,56383.8,56530.25,30541989,2887.9
09-DEC-2024,57481.95,57562.8,56305.95,56460.6,50495525,4811.16
06-DEC-2024,57742.9,57997.55,57602.1,57744.3,22194397,1967.08
05-DEC-2024,57358.6,57922.9,56861.25,57605.2,45386527,3543.27
04-DEC-2024,57813.7,58005.9,57170.35,57270.35,32409111,2758.77
03-DEC-2024,57278.25,57767.65,57056.8,57689.2,46817789,3383.85
02-DEC-2024,57839.3,58090.8,57543.55,57917,23124028,2030.46
29-NOV-2024,57475.95,58120.45,57475.95,57943.7,27692860,2667.33
28-NOV-2024,58068.5,58788.85,57444.8,57706.05,39479289,3640.49
27-NOV-2024,57912.25,58093.55,57430.55,58028.6,21546427,1907.78
26-NOV-2024,57688.1,58038.25,57410.25,57838.25,22411778,2126.78
25-NOV-2024,57443.5,57902.2,57214.1,57358.2,55739866,5581.79
22-NOV-2024,55700.25,57088.4,55542.95,56956.45,36192877,2815.61
21-NOV-2024,56168.9,56281.95,55493.25,55693.7,39056204,3386.33
19-NOV-2024,56554.75,57012.9,56268.5,56378.55,28232017,2448.61
18-NOV-2024,56029.5,56420.95,55546.45,56314.35,30331047,2575.01
14-NOV-2024,56634.75,56774.05,55689.2,55782.7,31049848,2870.18
13-NOV-2024,56730.95,56855.7,56489.1,56647.85,31748367,2777.16
12-NOV-2024,57925.15,57960.05,56796.45,56902.55,29414795,3752.98
11-NOV-2024,58327.15,58533.25,57575.15,57843.95,18651543,2110.02
08-NOV-2024,58241.4,58431.65,57854.85,58359.4,18020160,2017.37
07-NOV-2024,58816.3,58917.35,58059.95,58180.25,20284235,1933.51
06-NOV-2024,58608.55,58962.4,58441.2,58754.8,25764841,2156.83
05-NOV-2024,58601.5,58871.25,58242.35,58542.2,22819675,1835.88
04-NOV-2024,59579.1,59589.9,58398.95,58743.7,26350081,2365.24
01-NOV-2024,59542.25,59620.4,59328.7,59433.2,3402512,282.64
31-OCT-2024,59773.6,59882.35,58983.75,59203,28503697,2624.59
30-OCT-2024,59269.95,59837.05,59195.6,59748.9,38873709,3283.32
29-OCT-2024,59354.5,59389.9,58694.95,59203.85,24575509,2296.57
28-OCT-2024,58984.1,59518.95,58571.3,59252.65,24249185,2180.22
25-OCT-2024,58724.9,59465.55,58681.2,58908.5,55491675,5245.48
24-OCT-2024,60171.8,60186.4,58253.2,58396.9,45614803,5799.24
23-OCT-2024,59712.2,60352.15,59712.2,60097.65,35875587,2980.06
22-OCT-2024,60293.25,60562.65,59892.85,60000.95,34974052,2890.73
21-OCT-2024,60929,60990.5,59908.2,60280.25,29713770,2778.03
18-OCT-2024,61372.5,61409.4,60453.2,61042.1,38267364,3084.91
17-OCT-2024,62409,62423.8,61280.75,61352.75,25965289,2778.15
16-OCT-2024,62560.15,62572.05,62081.25,62373.25,23507423,2384.62
15-OCT-2024,62494.15,62683.2,62112.45,62607.7,24780719,2541.06
14-OCT-2024,62368.45,62439.05,61881.25,62372.3,17567050,1886.1
11-OCT-2024,62257.65,62312.45,61849.6,62080.2,22522889,1730.87
10-OCT-2024,62640.2,62672.35,61841.85,62056.3,27937825,2636.34
09-OCT-2024,63515.1,63517.55,62190.75,62334.35,48124509,4332.92
08-OCT-2024,63014.15,63562.75,62895.35,63326.55,46844124,4310.92
07-OCT-2024,63522.65,63688.15,62894.25,63028.35,49192803,3863.66
04-OCT-2024,64371.15,64683.5,63266.95,63380.05,48001599,4208.07
03-OCT-2024,64687.8,65076.4,64392.6,64502.05,59128875,4772.84
01-OCT-2024,65546.85,65685,65029.55,65470.95,24579881,2533.53
30-SEP-2024,65744.45,66122.15,65413.7,65540.35,32390356,3362.96
27-SEP-2024,65967,66427.7,65530.65,65845.45,74215121,7777.59
26-SEP-2024,65604.4,66218.85,65496.35,66156.9,34604523,3347.37
25-SEP-2024,65817.2,65854.3,64970.15,65521.7,30083538,2919.26
24-SEP-2024,66276.35,66324.85,65697.3,65796.65,27993541,3341.56
23-SEP-2024,66008.8,66438.7,65787.35,66305.2,23603602,2694.5
20-SEP-2024,65272.3,65974.6,65043.25,65870.8,56334840,6046.43
19-SEP-2024,64826.2,65458.65,64768.1,64975.8,39185330,4242.56
18-SEP-2024,64722.55,64988.75,64261.95,64615.05,18614175,1987.87
17-SEP-2024,64643.8,65199.75,64489.65,64686.45,31016366,3094.47
16-SEP-2024,65026.1,65026.1,64322.4,64597,26154193,2764.55
13-SEP-2024,65616.25,65616.25,64912.05,65062.8,28875971,2929.26
12-SEP-2024,64958.65,65597.85,64697.7,65513.2,41169370,4091.96
11-SEP-2024,64654,65344.6,64481.6,64768.15,33959784,3679.13
10-SEP-2024,64701.45,64883.9,64348.4,64584.95,28307751,3167.83
09-SEP-2024,63275.65,64540.3,63169.45,64465.85,38045847,4064.5
06-SEP-2024,63694.9,63908.5,62905.8,63175.7,33004578,3202.08
05-SEP-2024,63867.5,64015.5,63554.6,63700.4,25421556,2854.25
04-SEP-2024,62906.45,63821.3,62906.45,63742.9,25366502,2694.81
03-SEP-2024,63605.5,64058,63391.3,63485.75,26452474,2863.98
02-SEP-2024,63306.2,63768.9,63289.45,63578.6,29103216,2858.3
30-AUG-2024,63144.7,63585.95,62891.5,63059.75,61234567,6563.25
29-AUG-2024,62825.8,63355.6,62661.3,63162.95,34100309,3317.2
28-AUG-2024,62994.3,63069.9,62563.55,62713.6,23792396,2428.79
27-AUG-2024,63744.9,63805.95,62952.6,62981.15,18329338,1896.05
26-AUG-2024,63480,63782.5,63173.3,63657.95,21160302,2275.63
23-AUG-2024,63586.65,63700.75,63134.75,63409.25,23264622,2480.17
22-AUG-2024,63424.8,63620.9,63155.1,63483.6,28877460,3143.4
21-AUG-2024,62380.4,63212.55,62310.8,63091.9,23454417,2604.93
20-AUG-2024,62381.2,62473.05,61996.6,62240.6,23749845,2212.51
19-AUG-2024,62433.25,62640.4,62228.8,62326.05,26772212,2604.97
16-AUG-2024,61450,62303.45,61315.6,62213,29796243,2985.15
14-AUG-2024,61642.3,61730.4,61092.25,61305.3,22927450,2180.42
13-AUG-2024,61768.1,61978.65,61326.8,61495.75,30704932,2561.01
12-AUG-2024,61840.25,62163.8,61553.4,61668.45,23856409,2561.41
09-AUG-2024,62479.55,62488.4,62029.85,62157.35,19286470,1839.55
08-AUG-2024,62480.8,62503.25,61880.8,62042.55,37760537,3549.98
07-AUG-2024,62112.2,62545.6,61997.45,62322.65,27335661,2918.57
06-AUG-2024,61654.8,62291.35,61516.5,61604.15,35289306,3682.92
05-AUG-2024,60877.25,62156.55,60818.8,61550.45,57004547,5493.23
02-AUG-2024,61659.05,62639.55,61632.85,61745.15,38998534,3506.16
01-AUG-2024,62173.5,62264.1,61948.9,62173.2,31672455,3254.83
31-JUL-2024,62143.3,62264.6,61841.5,62082.2,32871514,3474.78
