Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
05-FEB-2018,8910.9,9095.9,8859.65,9069.5,11034640,823.59
02-FEB-2018,9113.95,9305.6,9014,9042.75,21783989,1594.01
01-FEB-2018,9391.5,9391.7,9075.75,9158.7,18427372,1345.34
31-JAN-2018,9550.75,9565.3,9329.2,9384.75,13770662,1128.19
30-JAN-2018,9602.95,9605.15,9500.2,9563.55,10124752,870.43
29-JAN-2018,9716.2,9752.05,9592.4,9622.35,13711141,1143.13
25-JAN-2018,9857.65,9920.55,9715.8,9729.15,18844865,1882.55
24-JAN-2018,9752.25,9903.4,9717.1,9826.4,17427942,1519.34
23-JAN-2018,9688,9827.35,9670.85,9767.3,14085544,1134.66
22-JAN-2018,9621.35,9680.95,9587.1,9654.8,8926182,765.96
19-JAN-2018,9648.6,9668.55,9566.7,9637.8,12639093,871
18-JAN-2018,9779.65,9819.4,9581.55,9626.45,12084824,978.95
17-JAN-2018,9648.4,9757.95,9565.95,9744.3,12953576,1052.49
16-JAN-2018,9675.6,9722.05,9589.4,9623.45,11977299,892.23
15-JAN-2018,9764,9776.55,9650,9659.75,8582072,596.04
12-JAN-2018,9795.85,9825.2,9656,9741.85,8857860,696.94
11-JAN-2018,9752.6,9849.8,9708.6,9772.85,12680535,873.08
10-JAN-2018,9789.75,9863.5,9716.1,9748.6,13185031,971.21
09-JAN-2018,9866.55,9875.7,9747,9770.2,10164458,787.76
08-JAN-2018,9759.8,9939.05,9750.65,9838.25,22589673,1655.53
05-JAN-2018,9666.25,9717.15,9614.2,9701.05,13418674,1037.44
04-JAN-2018,9535.9,9649.05,9476.45,9633.6,13215036,993.21
03-JAN-2018,9585.65,9605.15,9505.55,9519.55,11198773,993.53
02-JAN-2018,9662.2,9708.45,9531,9565.8,9652641,706.89
01-JAN-2018,9627.4,9740.6,9588.95,9618.15,10894193,752.74
29-DEC-2017,9635.15,9675.1,9590.75,9620.1,13063911,947.57
28-DEC-2017,9683.1,9732.9,9559.65,9584.2,22513511,1636.39
27-DEC-2017,9447.75,9699.65,9438.5,9639.85,38496851,2593.56
26-DEC-2017,9336.65,9436.1,9307.45,9416,10632983,746.28
22-DEC-2017,9346.95,9361,9309.2,9326.6,9578305,723.28
21-DEC-2017,9335.25,9418.15,9303.1,9321.6,14243379,923.34
20-DEC-2017,9314.65,9365.8,9260.35,9285.45,10685674,768.75
19-DEC-2017,9284.9,9313.65,9233.45,9299.65,10342367,764.53
18-DEC-2017,9102.2,9286.4,8921.3,9230.45,11878398,866.12
15-DEC-2017,9152.4,9162.25,9081.1,9100.3,15011960,1126.8
14-DEC-2017,9032.6,9087.95,8975.45,9070.85,10661906,879.38
