Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
2016-02-05,19295.45,19514.6,19294.35,19465.4,13695275.0,694.87
2016-02-08,19532.5,19532.5,19146.0,19184.6,10653261.0,485.65
2016-02-09,19086.5,19159.0,18933.8,19007.25,13248816.0,587.08
2016-02-10,19019.0,19037.3,18719.55,18791.65,12355495.0,593.51
2016-02-11,18834.45,18834.45,18183.55,18227.25,21588600.0,855.5
2016-02-12,18259.25,18433.75,18205.9,18328.35,19648176.0,873.94
2016-02-15,18515.35,18615.05,18337.95,18510.0,17463479.0,842.94
2016-02-16,18509.6,18542.8,18051.75,18123.3,13430000.0,636.53
2016-02-17,18158.2,18360.0,17770.9,18300.5,15087908.0,644.94
2016-02-18,18413.45,18620.95,18408.2,18579.35,13250691.0,605.52
2016-02-19,18613.25,18613.25,18402.95,18574.15,12086546.0,533.72
2016-02-22,18526.4,18672.45,18287.4,18657.3,18114085.0,867.02
2016-02-23,18594.45,18594.45,18285.3,18329.6,11810766.0,572.66
2016-02-24,18300.65,18355.4,18008.3,18099.25,14968364.0,643.96
2016-02-25,18020.35,18210.7,18012.5,18094.75,26684285.0,903.47
2016-02-26,18258.75,18369.9,18087.05,18306.6,16068522.0,948.62
2016-02-29,18295.4,18580.3,17406.9,18331.6,59158260.0,2010.45
2016-03-01,18630.55,19378.9,18630.55,19317.0,51885535.0,1902.04
2016-03-02,19455.0,19666.3,19233.55,19260.4,24597437.0,1075.22
2016-03-03,19412.2,19453.05,19166.5,19208.7,14893383.0,731.46
2016-03-04,19277.45,19348.7,19097.7,19144.95,14653390.0,785.06
2016-03-08,19147.9,19409.45,19126.8,19214.0,16046829.0,851.35
2016-03-09,19085.65,19279.7,18960.5,19248.55,21674050.0,907.26
2016-03-10,19236.7,19300.75,18919.75,19066.05,15351563.0,734.93
2016-03-11,19082.2,19384.95,19060.55,19354.4,17884301.0,1044.08
2016-03-14,19451.25,19583.75,19428.65,19535.15,13740459.0,764.54
2016-03-15,19551.75,19551.75,19083.35,19136.45,18821353.0,898.45
2016-03-16,19149.2,19378.35,19132.95,19336.8,14929055.0,837.7
2016-03-17,19434.05,19503.55,19366.35,19445.2,20821835.0,956.28
2016-03-18,19513.75,19602.3,19368.45,19555.3,19108905.0,897.87
2016-03-21,19593.55,19960.25,19593.55,19928.45,19526145.0,940.68
2016-03-22,19827.2,19889.85,19533.9,19609.0,22230057.0,1043.88
2016-03-23,19662.45,19662.65,19463.05,19629.65,16862650.0,813.21
2016-03-28,19720.6,19785.3,19425.45,19462.8,19023984.0,921.99
2016-03-29,19392.05,19634.15,19352.0,19375.45,20255025.0,814.73
2016-03-30,19431.45,19744.2,19431.45,19690.95,18742136.0,828.88
2016-03-31,19626.0,19891.6,19609.35,19764.15,30164378.0,1420.52
2016-04-01,19672.25,20026.35,19672.25,19992.1,15830554.0,718.37
2016-04-04,19727.4,19948.5,19727.4,19890.6,13478057.0,671.06
2016-04-05,19788.5,19831.1,19591.35,19635.4,11814273.0,623.74
2016-04-06,19662.8,19725.9,19605.35,19657.55,11579526.0,648.12
2016-04-07,19695.8,19695.8,19345.55,19384.05,12095927.0,561.42
2016-04-08,19388.1,19489.3,19364.7,19451.7,7972081.0,440.71
2016-04-11,19477.6,19683.15,19219.9,19651.25,14736915.0,799.32
2016-04-12,19604.75,19650.45,19499.25,19606.6,10428646.0,715.11
2016-04-13,19722.9,20082.6,19712.1,20045.2,16928860.0,953.96
2016-04-18,20172.55,20306.65,20047.9,20253.95,16089404.0,769.28
2016-04-20,20252.85,20349.05,20123.4,20246.6,13499104.0,771.06
2016-04-21,20268.55,20300.2,19965.75,20071.1,10025495.0,542.36
2016-04-22,19930.85,20111.45,19834.95,19876.5,9896731.0,515.42
2016-04-25,19711.85,19860.7,19652.55,19715.65,9559920.0,511.98
2016-04-26,19464.3,19933.7,19464.3,19890.55,16199418.0,755.8
2016-04-27,19852.5,20165.3,19852.5,20141.55,12627872.0,572.94
2016-04-28,20058.95,20088.3,19629.6,19667.6,31921680.0,1749.31
2016-04-29,19693.85,19800.7,19549.1,19737.7,18117228.0,907.57
2016-05-02,19687.55,19752.4,19557.85,19728.4,10712912.0,474.87
2016-05-03,19755.75,19810.2,19403.6,19478.35,17920851.0,1125.82
2016-05-04,19426.05,19548.55,19221.65,19295.85,12062410.0,730.29
2016-05-05,19317.25,19577.5,19298.2,19466.3,10351419.0,615.57
2016-05-06,19323.5,19588.95,19124.6,19521.95,16862203.0,774.3
2016-05-09,19610.5,19885.4,19608.7,19752.65,15159314.0,908.82
2016-05-10,19770.6,19879.2,19736.75,19836.7,12829395.0,753.43
2016-05-11,19637.05,19789.55,19580.75,19726.9,12740837.0,668.12
2016-05-12,19754.4,19848.3,19618.6,19748.7,9000328.0,624.19
2016-05-13,19722.6,19752.8,19564.35,19667.7,14296631.0,826.82
2016-05-16,19650.35,19995.4,19520.3,19977.1,15786849.0,799.08
2016-05-17,20032.6,20085.5,19892.15,19960.9,13754289.0,705.47
2016-05-18,19846.1,20011.15,19729.95,19963.9,11190297.0,642.99
2016-05-19,20023.9,20023.9,19565.4,19612.85,13241228.0,682.14
2016-05-20,19710.7,19909.15,19538.75,19705.0,19147725.0,882.32
2016-05-23,20312.05,20414.0,19947.55,20179.05,41714310.0,1740.91
2016-05-24,20214.6,20297.75,20138.7,20225.4,27323442.0,1846.4
2016-05-25,20344.5,20678.9,20331.3,20639.8,15014623.0,871.59
2016-05-26,20650.8,20971.95,20559.95,20920.65,18649728.0,1144.93
2016-05-27,20934.35,21022.4,20764.5,20907.55,14857153.0,1017.92
2016-05-30,20745.35,20874.55,20726.3,20807.05,11210735.0,671.23
2016-05-31,20810.45,20884.55,20458.45,20521.65,37354723.0,2523.95
2016-06-01,20618.15,20907.45,20618.15,20886.6,13756654.0,800.2
2016-06-02,20847.6,20963.75,20631.2,20919.45,18374446.0,1047.32
2016-06-03,21008.1,21036.2,20844.7,20912.5,14849019.0,817.88
2016-06-06,20922.3,20970.8,20851.95,20888.0,13191353.0,711.39
2016-06-07,20971.75,21261.5,20961.75,21214.6,14945618.0,917.97
2016-06-08,21250.85,21310.75,21133.5,21225.6,12436540.0,674.46
2016-06-09,21245.0,21245.0,20806.9,20833.7,15105710.0,732.45
2016-06-10,20812.1,21029.8,20688.8,20704.5,13415393.0,666.54
2016-06-13,20575.55,20777.55,20489.8,20649.0,17225593.0,707.43
2016-06-14,20674.3,20738.35,20599.1,20717.95,11765717.0,540.39
2016-06-15,20772.3,20974.7,20749.0,20956.1,14341429.0,636.33
2016-06-16,20949.6,20949.6,20658.0,20868.1,12489392.0,656.25
2016-06-17,20921.9,21079.25,20900.3,21044.6,13080450.0,691.21
2016-06-20,21004.0,21110.6,20816.05,21010.55,10780723.0,556.6
2016-06-21,20975.55,21052.05,20910.3,20996.75,10737053.0,688.6
2016-06-22,20887.85,21011.05,20776.7,20877.6,12767894.0,578.67
2016-06-23,20895.55,21112.4,20880.45,21065.45,11359062.0,545.46
2016-06-24,20682.7,20822.5,20546.65,20789.95,16983373.0,737.59
2016-06-27,20803.9,21107.45,20803.9,20999.25,13476252.0,616.46
2016-06-28,21065.0,21445.45,21041.75,21433.5,19269320.0,874.31
2016-06-29,21515.4,21534.25,21298.75,21400.65,17999077.0,799.69
2016-06-30,21519.9,21703.55,21484.3,21608.45,28404187.0,1584.56
2016-07-01,21517.7,22197.75,21517.7,22025.4,38906621.0,1257.6
2016-07-04,22140.75,22141.4,21655.45,21699.35,20530599.0,899.18
2016-07-05,21755.5,21791.0,21592.15,21697.65,14686116.0,669.29
2016-07-07,21750.15,22000.75,21704.35,21924.15,20491125.0,911.65
2016-07-08,21963.45,21963.45,21717.9,21856.6,14516303.0,645.81
2016-07-11,22018.75,22199.4,21971.25,22078.35,14596333.0,638.64
2016-07-12,22174.75,22213.3,21926.55,21996.85,10237335.0,515.58
2016-07-13,22005.9,22021.1,21844.05,21932.8,12645252.0,576.0
2016-07-14,21959.4,22083.3,21845.65,22020.85,12041304.0,602.56
2016-07-15,22050.15,22289.2,21980.65,22031.35,15503170.0,684.88
2016-07-18,22065.0,22109.2,21910.65,21973.5,15431648.0,741.8
2016-07-19,21919.0,21943.65,21696.1,21838.45,18561997.0,898.57
2016-07-20,21868.35,22021.95,21815.5,21957.35,16311579.0,673.4
2016-07-21,22103.0,22115.6,21821.25,21999.3,17810282.0,712.7
2016-07-22,22129.95,22278.15,21812.7,22000.45,22770464.0,837.58
2016-07-25,21994.15,22164.85,21952.8,22139.0,16135059.0,690.12
2016-07-26,22141.4,22183.95,22000.75,22059.65,12810091.0,636.63
2016-07-27,22043.0,22158.35,21833.05,21904.15,23653103.0,929.04
2016-07-28,22008.6,22359.45,21949.3,22290.85,26313759.0,1085.56
2016-07-29,22279.6,22377.5,22174.0,22228.85,21273752.0,889.96
2016-08-01,22267.15,22409.05,22052.2,22136.9,17058390.0,809.46
2016-08-02,22193.95,22692.1,22189.75,22638.85,25878993.0,1073.05
2016-08-03,22639.95,22639.95,22022.45,22084.55,19164155.0,883.48
2016-08-04,22225.35,22272.9,21987.05,22072.35,16744232.0,837.11
2016-08-05,22106.3,22293.45,22050.7,22151.9,12413103.0,639.39
2016-08-08,22195.45,22296.45,22132.0,22200.4,21610327.0,1388.49
2016-08-09,22214.45,22214.45,21880.35,22014.4,24416287.0,949.88
2016-08-10,22038.5,22048.2,21789.0,21829.8,14593772.0,772.71
2016-08-11,21866.3,22311.8,21860.55,22235.15,19219525.0,1010.14
2016-08-12,22204.2,22493.35,22204.2,22397.4,15427467.0,773.63
