Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
2016-02-05,11250.2,11686.4,11145.9,11652.4,16222083.0,1602.17
2016-02-08,11657.1,11657.1,11470.4,11498.8,9128747.0,892.06
2016-02-09,11401.4,11604.25,11401.4,11557.0,12093603.0,1418.71
2016-02-10,11477.2,11477.2,11266.1,11352.75,21267191.0,1856.63
2016-02-11,11304.05,11381.3,11074.35,11100.1,18521281.0,1496.4
2016-02-12,11226.7,11283.35,10810.15,11081.05,20714052.0,1581.97
2016-02-15,11198.35,11331.25,11152.35,11191.7,12196559.0,1041.67
2016-02-16,11207.85,11250.0,10917.9,10936.35,10380831.0,875.86
2016-02-17,10983.15,11179.0,10875.7,11148.1,10838134.0,1049.0
2016-02-18,11315.75,11446.8,11252.45,11371.35,10766082.0,1092.35
2016-02-19,11367.9,11381.0,11250.55,11341.65,8245966.0,716.02
2016-02-22,11412.35,11515.15,11378.9,11487.7,8233313.0,715.03
2016-02-23,11539.75,11570.05,11320.8,11351.3,8738608.0,760.86
2016-02-24,11320.4,11326.25,11098.4,11130.2,10364240.0,845.99
2016-02-25,11150.1,11215.4,11114.0,11177.1,16609142.0,1328.26
2016-02-26,11283.05,11317.35,11144.5,11164.25,11339138.0,901.41
2016-02-29,11234.5,11320.6,10900.4,11167.7,18031304.0,1394.64
2016-03-01,11224.75,11331.6,11106.35,11294.4,11802720.0,951.63
2016-03-02,11402.4,11447.9,11262.6,11278.45,14337165.0,1160.66
2016-03-03,11379.5,11516.85,11348.3,11502.3,12624282.0,1184.64
2016-03-04,11555.15,11602.95,11460.6,11537.65,10101376.0,893.86
2016-03-08,11558.25,11706.8,11496.0,11570.35,9179927.0,887.96
2016-03-09,11580.35,11614.2,11416.55,11601.0,12823355.0,1033.71
2016-03-10,11640.25,11641.4,11529.65,11623.0,10362231.0,835.61
2016-03-11,11587.85,11710.75,11517.3,11695.6,10296082.0,915.6
2016-03-14,11716.35,11781.4,11685.5,11719.2,10056687.0,830.71
2016-03-15,11656.3,11656.3,11304.8,11325.6,13842024.0,1373.9
2016-03-16,11331.85,11407.35,11148.3,11381.75,11008934.0,1037.82
2016-03-17,11451.7,11454.75,11184.7,11227.4,12168754.0,1261.54
2016-03-18,11211.8,11213.6,10922.15,11092.25,23881043.0,2442.48
2016-03-21,11141.3,11254.85,11078.75,11235.7,14646720.0,1680.24
2016-03-22,11244.8,11300.5,11140.45,11217.5,12068560.0,1352.9
2016-03-23,11213.75,11237.4,11134.85,11198.3,12810594.0,1021.25
2016-03-28,11243.45,11243.45,10919.5,10960.05,13125604.0,1270.04
2016-03-29,10940.3,10940.3,10353.9,10665.25,39463825.0,4063.16
