Year,Symbol,Weightage (%)
2016,INFY,8.61
2016,HDFCBANK,7.7
2016,HDFC,6.9
2016,ITC,6.67
2016,RELIANCE,6.33
2016,ICICIBANK,4.95
2016,TCS,4.56
2016,SUNPHARMA,3.52
2016,LT,3.34
2016,KOTAKBANK,2.61
2016,AXISBANK,2.54
2016,TATAMOTORS,2.41
2016,HINDUNILVR,2.15
2016,M&M,2.11
2016,SBIN,2.06
2016,MARUTI,2.01
2016,HCLTECH,1.78
2016,INDUSINDBK,1.68
2016,LUPIN,1.53
2016,COALINDIA,1.52
2016,ONGC,1.5
2016,BHARTIARTL,1.48
2016,ASIANPAINT,1.46
2016,DRREDDY,1.46
2016,WIPRO,1.34
2016,POWERGRID,1.21
2016,BAJAJ-AUTO,1.18
2016,HEROMOTOCO,1.16
2016,TECHM,1.14
2016,CIPLA,1.1
2016,NTPC,1.09
2016,ULTRACEMCO,1.08
2016,YESBANK,0.9
2016,BPCL,0.85
2016,ZEEL,0.85
2016,GRASIM,0.8
2016,ADANIPORTS,0.71
2016,GAIL,0.63
2016,TATASTEEL,0.62
2016,BOSCHLTD,0.59
2016,AMBUJACEM,0.56
2016,BHEL,0.46
2016,BANKBARODA,0.44
2016,ACC,0.43
2016,IDEA,0.43
2016,TATAPOWER,0.4
2016,HINDALCO,0.34
2016,VEDL,0.29
2016,CAIRN,0.26
2016,PNB,0.25
2017,HDFCBANK,8.22
2017,ITC,6.94
2017,HDFC,6.87
2017,INFY,5.89
2017,RELIANCE,5.48
2017,ICICIBANK,4.97
2017,LT,3.76
2017,TCS,3.76
2017,TATAMOTORS,3.21
2017,KOTAKBANK,2.93
2017,SBIN,2.56
2017,AXISBANK,2.51
2017,MARUTI,2.49
2017,SUNPHARMA,2.17
2017,INDUSINDBK,1.99
2017,HINDUNILVR,1.94
2017,M&M,1.83
2017,ONGC,1.73
2017,BHARTIARTL,1.46
2017,YESBANK,1.46
2017,HCLTECH,1.45
2017,POWERGRID,1.44
2017,ASIANPAINT,1.39
2017,NTPC,1.35
2017,HEROMOTOCO,1.29
2017,COALINDIA,1.24
2017,BAJAJ-AUTO,1.22
2017,ULTRACEMCO,1.22
2017,DRREDDY,1.19
2017,BPCL,1.13
2017,LUPIN,1.12
2017,TATASTEEL,0.98
2017,EICHERMOT,0.97
2017,GRASIM,0.93
2017,WIPRO,0.93
2017,CIPLA,0.92
2017,TECHM,0.89
2017,ZEEL,0.85
2017,ADANIPORTS,0.79
2017,HINDALCO,0.77
2017,GAIL,0.7
2017,BOSCHLTD,0.64
2017,AUROPHARMA,0.58
2017,AMBUJACEM,0.56
2017,TATAMTRDVR,0.54
2017,BANKBARODA,0.49
2017,INFRATEL,0.49
2017,TATAPOWER,0.46
2017,IDEA,0.44
2017,ACC,0.42
2017,BHEL,0.39
2018,HDFCBANK,9.64
2018,RELIANCE,7.79
2018,HDFC,7.34
2018,ITC,5.44
2018,INFY,5.4
2018,ICICIBANK,5.33
2018,LT,4.1
2018,TCS,3.64
2018,KOTAKBANK,3.47
2018,MARUTI,2.97
2018,SBIN,2.73
2018,HINDUNILVR,2.3
2018,AXISBANK,2.22
2018,INDUSINDBK,2.1
2018,TATAMOTORS,1.74
2018,M&M,1.67
2018,YESBANK,1.53
2018,SUNPHARMA,1.5
2018,VEDL,1.49
2018,BHARTIARTL,1.36
2018,ONGC,1.35
2018,HCLTECH,1.29
2018,TATASTEEL,1.29
2018,NTPC,1.22
2018,ASIANPAINT,1.2
2018,HEROMOTOCO,1.13
2018,BAJAJ-AUTO,1.07
2018,ULTRACEMCO,1.07
2018,IBULHSGFIN,1.06
2018,IOC,1.0
2018,POWERGRID,1.0
2018,BAJFINANCE,0.93
2018,COALINDIA,0.92
2018,BPCL,0.9
2018,TECHM,0.9
2018,HINDALCO,0.88
2018,EICHERMOT,0.84
2018,WIPRO,0.81
2018,ADANIPORTS,0.77
2018,ZEEL,0.76
2018,GAIL,0.72
2018,CIPLA,0.71
2018,HINDPETRO,0.7
2018,UPL,0.65
2018,INFRATEL,0.64
2018,DRREDDY,0.63
2018,LUPIN,0.5
2018,AMBUJACEM,0.45
2018,AUROPHARMA,0.42
2018,BOSCHLTD,0.42
2019,HDFCBANK,10.31
2019,RELIANCE,9.69
2019,HDFC,7.31
2019,INFY,6.57
2019,ITC,5.51
2019,ICICIBANK,5.42
2019,TCS,4.88
2019,KOTAKBANK,3.87
2019,LT,3.74
2019,AXISBANK,2.96
2019,HINDUNILVR,2.91
2019,SBIN,2.54
2019,MARUTI,2.04
2019,INDUSINDBK,1.78
2019,ASIANPAINT,1.47
2019,M&M,1.46
2019,BAJFINANCE,1.41
2019,HCLTECH,1.29
2019,NTPC,1.09
2019,SUNPHARMA,1.08
2019,TECHM,1.06
2019,ONGC,1.0
2019,POWERGRID,1.0
2019,TITAN,0.96
2019,WIPRO,0.96
2019,BHARTIARTL,0.93
2019,COALINDIA,0.87
2019,BAJAJFINSV,0.85
2019,ULTRACEMCO,0.85
2019,VEDL,0.85
2019,TATASTEEL,0.83
2019,YESBANK,0.83
2019,BAJAJ-AUTO,0.8
2019,HEROMOTOCO,0.78
2019,IOC,0.77
2019,DRREDDY,0.76
2019,TATAMOTORS,0.76
2019,HINDALCO,0.7
2019,GAIL,0.69
2019,UPL,0.67
2019,GRASIM,0.66
2019,BPCL,0.64
2019,JSWSTEEL,0.64
2019,ADANIPORTS,0.62
2019,CIPLA,0.61
2019,EICHERMOT,0.61
2019,INFRATEL,0.57
2019,IBULHSGFIN,0.51
2019,ZEEL,0.49
2019,HINDPETRO,0.4
2020,HDFCBANK,10.73
2020,RELIANCE,9.23
2020,HDFC,8.42
2020,ICICIBANK,6.87
2020,INFY,5.75
2020,KOTAKBANK,4.58
2020,TCS,4.42
2020,ITC,4.15
2020,LT,3.42
2020,AXISBANK,3.28
2020,HINDUNILVR,2.94
2020,SBIN,2.47
2020,BAJFINANCE,2.28
2020,BHARTIARTL,2.25
2020,MARUTI,1.86
2020,ASIANPAINT,1.64
2020,INDUSINDBK,1.53
2020,HCLTECH,1.3
2020,BAJAJFINSV,1.15
2020,NESTLEIND,1.11
2020,M&M,1.1
2020,NTPC,1.02
2020,ULTRACEMCO,1.01
2020,TITAN,1.0
2020,TECHM,0.99
2020,SUNPHARMA,0.95
2020,POWERGRID,0.89
2020,BAJAJ-AUTO,0.84
2020,BRITANNIA,0.76
2020,DRREDDY,0.76
2020,ONGC,0.75
2020,BPCL,0.74
2020,WIPRO,0.71
2020,COALINDIA,0.7
2020,TATASTEEL,0.67
2020,HEROMOTOCO,0.66
2020,TATAMOTORS,0.64
2020,GRASIM,0.62
2020,UPL,0.59
2020,ADANIPORTS,0.58
2020,IOC,0.58
2020,EICHERMOT,0.57
2020,HINDALCO,0.56
2020,JSWSTEEL,0.51
2020,VEDL,0.51
2020,CIPLA,0.46
2020,GAIL,0.45
2020,INFRATEL,0.43
2020,ZEEL,0.41
2020,YESBANK,0.18
2021,HDFCBANK,10.29
2021,RELIANCE,10.13
2021,INFY,7.81
2021,HDFC,7.27
2021,ICICIBANK,6.31
2021,TCS,5.56
2021,KOTAKBANK,4.27
2021,HINDUNILVR,3.44
2021,ITC,3.02
2021,AXISBANK,2.8
2021,LT,2.74
2021,BHARTIARTL,2.26
2021,BAJFINANCE,2.14
2021,ASIANPAINT,1.85
2021,SBIN,1.84
2021,HCLTECH,1.69
2021,MARUTI,1.63
2021,M&M,1.22
2021,SUNPHARMA,1.08
2021,WIPRO,1.06
2021,ULTRACEMCO,1.05
2021,NESTLEIND,1.04
2021,TECHM,1.01
2021,TITAN,1.01
2021,DRREDDY,0.95
2021,HDFCLIFE,0.91
2021,BAJAJFINSV,0.9
2021,BAJAJ-AUTO,0.89
2021,INDUSINDBK,0.82
2021,POWERGRID,0.8
2021,TATAMOTORS,0.8
2021,TATASTEEL,0.77
2021,DIVISLAB,0.73
2021,NTPC,0.73
2021,HEROMOTOCO,0.72
2021,CIPLA,0.71
2021,BRITANNIA,0.7
2021,GRASIM,0.7
2021,EICHERMOT,0.65
2021,ADANIPORTS,0.63
2021,JSWSTEEL,0.6
2021,SBILIFE,0.57
2021,HINDALCO,0.56
2021,ONGC,0.55
2021,BPCL,0.52
2021,SHREECEM,0.52
2021,UPL,0.52
2021,COALINDIA,0.45
2021,IOC,0.4
2021,GAIL,0.39
2022,RELIANCE,10.86
2022,HDFCBANK,8.58
2022,INFY,8.49
2022,ICICIBANK,7.23
2022,HDFC,6.02
2022,TCS,5.11
2022,KOTAKBANK,3.6
2022,LT,3.04
2022,SBIN,2.73
2022,HINDUNILVR,2.68
2022,AXISBANK,2.63
2022,ITC,2.54
2022,BAJFINANCE,2.45
2022,BHARTIARTL,2.27
2022,ASIANPAINT,1.88
2022,HCLTECH,1.57
2022,MARUTI,1.51
2022,TITAN,1.3
2022,BAJAJFINSV,1.25
2022,TATAMOTORS,1.22
2022,TECHM,1.21
2022,SUNPHARMA,1.19
2022,TATASTEEL,1.14
2022,M&M,1.12
2022,WIPRO,1.12
2022,ULTRACEMCO,1.1
2022,POWERGRID,0.97
2022,HINDALCO,0.94
2022,NTPC,0.89
2022,NESTLEIND,0.87
2022,GRASIM,0.86
2022,ONGC,0.83
2022,JSWSTEEL,0.82
2022,HDFCLIFE,0.76
2022,INDUSINDBK,0.75
2022,SBILIFE,0.72
2022,ADANIPORTS,0.69
2022,DRREDDY,0.69
2022,DIVISLAB,0.68
2022,CIPLA,0.64
2022,BAJAJ-AUTO,0.61
2022,TATACONSUM,0.57
2022,UPL,0.56
2022,BRITANNIA,0.55
2022,BPCL,0.5
2022,EICHERMOT,0.49
2022,HEROMOTOCO,0.47
2022,COALINDIA,0.44
2022,SHREECEM,0.43
2022,IOC,0.42
2023,RELIANCE,10.41
2023,HDFCBANK,9.06
2023,ICICIBANK,7.44
2023,INFY,7.2
2023,HDFC,6.06
2023,TCS,4.41
2023,ITC,3.98
2023,LT,3.29
2023,KOTAKBANK,3.22
2023,AXISBANK,3.02
2023,HINDUNILVR,2.95
2023,SBIN,2.72
2023,BHARTIARTL,2.47
2023,BAJFINANCE,2.01
2023,M&M,1.69
2023,ASIANPAINT,1.58
2023,HCLTECH,1.52
2023,MARUTI,1.52
2023,SUNPHARMA,1.43
2023,TITAN,1.27
2023,TATASTEEL,1.24
2023,ULTRACEMCO,1.05
2023,ADANIENT,1.04
2023,NTPC,1.04
2023,TATAMOTORS,1.04
2023,POWERGRID,0.95
2023,BAJAJFINSV,0.93
2023,INDUSINDBK,0.9
2023,HINDALCO,0.88
2023,JSWSTEEL,0.87
2023,NESTLEIND,0.87
2023,TECHM,0.81
2023,GRASIM,0.77
2023,WIPRO,0.76
2023,HDFCLIFE,0.73
2023,ONGC,0.72
2023,CIPLA,0.71
2023,SBILIFE,0.7
2023,DRREDDY,0.67
2023,BRITANNIA,0.65
2023,COALINDIA,0.6
2023,ADANIPORTS,0.59
2023,EICHERMOT,0.58
2023,APOLLOHOSP,0.56
2023,TATACONSUM,0.56
2023,BAJAJ-AUTO,0.55
2023,DIVISLAB,0.54
2023,UPL,0.52
2023,HEROMOTOCO,0.46
2023,BPCL,0.43
2024,HDFCBANK,11.57
2024,RELIANCE,10.16
2024,ICICIBANK,7.59
2024,INFY,6.24
2024,LT,4.33
2024,ITC,4.12
2024,TCS,4.07
2024,AXISBANK,3.12
2024,BHARTIARTL,3.12
2024,KOTAKBANK,2.83
2024,SBIN,2.59
2024,HINDUNILVR,2.33
2024,BAJFINANCE,2.01
2024,HCLTECH,1.76
2024,TATAMOTORS,1.64
2024,TITAN,1.62
2024,SUNPHARMA,1.61
2024,NTPC,1.59
2024,M&M,1.56
2024,MARUTI,1.42
2024,ASIANPAINT,1.4
2024,POWERGRID,1.24
2024,ULTRACEMCO,1.24
2024,TATASTEEL,1.17
2024,INDUSINDBK,1.07
2024,ONGC,1.04
2024,COALINDIA,0.97
2024,NESTLEIND,0.94
2024,ADANIPORTS,0.93
2024,BAJAJFINSV,0.93
2024,BAJAJ-AUTO,0.91
2024,HINDALCO,0.89
2024,TECHM,0.88
2024,ADANIENT,0.87
2024,GRASIM,0.84
2024,JSWSTEEL,0.82
2024,DRREDDY,0.78
2024,CIPLA,0.75
2024,TATACONSUM,0.74
2024,WIPRO,0.71
2024,APOLLOHOSP,0.67
2024,SBILIFE,0.66
2024,BRITANNIA,0.65
2024,HDFCLIFE,0.64
2024,HEROMOTOCO,0.63
2024,EICHERMOT,0.55
2024,LTIM,0.53
2024,BPCL,0.5
2024,DIVISLAB,0.49
2024,UPL,0.28
2025,HDFCBANK,12.24
2025,ICICIBANK,8.38
2025,RELIANCE,8.14
2025,INFY,6.42
2025,BHARTIARTL,4.13
2025,LT,3.98
2025,TCS,3.98
2025,ITC,3.94
2025,SBIN,2.82
2025,AXISBANK,2.66
2025,KOTAKBANK,2.65
2025,M&M,2.51
2025,BAJFINANCE,2.09
2025,HINDUNILVR,2.08
2025,SUNPHARMA,1.78
2025,HCLTECH,1.73
2025,MARUTI,1.53
2025,NTPC,1.45
2025,TATAMOTORS,1.42
2025,TITAN,1.37
2025,POWERGRID,1.29
2025,ULTRACEMCO,1.24
2025,TRENT,1.21
2025,TATASTEEL,1.06
2025,TECHM,1.01
2025,ASIANPAINT,0.99
2025,BEL,0.99
2025,ONGC,0.97
2025,BAJAJ-AUTO,0.93
2025,BAJAJFINSV,0.9
2025,GRASIM,0.88
2025,JSWSTEEL,0.86
2025,COALINDIA,0.85
2025,WIPRO,0.84
2025,HINDALCO,0.82
2025,NESTLEIND,0.78
2025,ADANIPORTS,0.77
2025,CIPLA,0.77
2025,SHRIRAMFIN,0.72
2025,DRREDDY,0.7
2025,EICHERMOT,0.68
2025,APOLLOHOSP,0.65
2025,HDFCLIFE,0.65
2025,SBILIFE,0.63
2025,TATACONSUM,0.63
2025,INDUSINDBK,0.62
2025,BRITANNIA,0.57
2025,ADANIENT,0.54
2025,HEROMOTOCO,0.53
2025,BPCL,0.48
2025,ITCHOTELS,0.14
2026,HDFCBANK,12.3
2026,ICICIBANK,8.38
2026,RELIANCE,8.16
2026,INFY,4.98
2026,BHARTIARTL,4.75
2026,LT,4.0
2026,SBIN,3.87
2026,AXISBANK,3.4
2026,TCS,2.76
2026,ITC,2.69
2026,M&M,2.65
2026,KOTAKBANK,2.6
2026,BAJFINANCE,2.14
2026,HINDUNILVR,1.82
2026,ETERNAL,1.7
2026,MARUTI,1.66
2026,HCLTECH,1.55
2026,NTPC,1.46
2026,SUNPHARMA,1.46
2026,TITAN,1.42
2026,BEL,1.39
2026,TATASTEEL,1.38
2026,ULTRACEMCO,1.3
2026,SHRIRAMFIN,1.24
2026,HINDALCO,1.21
2026,POWERGRID,1.01
2026,JSWSTEEL,0.99
2026,BAJAJFINSV,0.97
2026,TECHM,0.96
2026,ASIANPAINT,0.95
2026,GRASIM,0.93
2026,BAJAJ-AUTO,0.92
2026,ADANIPORTS,0.91
2026,INDIGO,0.9
2026,ONGC,0.9
2026,COALINDIA,0.87
2026,EICHERMOT,0.85
2026,NESTLEIND,0.83
2026,SBILIFE,0.78
2026,TRENT,0.73
2026,JIOFIN,0.72
2026,HDFCLIFE,0.68
2026,CIPLA,0.64
2026,DRREDDY,0.64
2026,TATACONSUM,0.64
2026,TMPV,0.63
2026,APOLLOHOSP,0.62
2026,MAXHEALTH,0.62
2026,WIPRO,0.59
2026,ADANIENT,0.46
2026,DUMMYHDLVR,0.03
